['Nome', 'Partido', 'Número']
['Dêfo', 'PSB', 4070]
['Delbio Teruel', 'União', 4499]
['Delegada Junia', 'PTB', 1478]
['Delegada Teresinha', 'Patriota', 5101]
['Delegado André Moron', 'PSD', 5511]
['Delegado Bruno Lima', 'PP', 1111]
['Delegado Da Cunha', 'PP', 1122]
['Delegado Davi', 'PL', 2278]
['Delegado Elton Negrini', 'PRTB', 2827]
['Delegado Mauricio Freire', 'Avante', 7038]
['Delegado Palumbo', 'MDB', 1500]
['Delegado Paulo Bilynskyj', 'PL', 2247]
['Della Torre', 'PTB', 1499]
['Demerson Saúde', 'PSB', 4099]
['Demétrius Alves', 'Novo', 3093]
['Denilce Nicola', 'AGIR', 3666]
['Denilson Ziroldo', 'PSD', 5540]
['Denis Andia', 'MDB', 1540]
['Deputado Alfredinho', 'PSD', 1389]
['Diego Di', 'PP', 1141]
['Dijair', 'PDT', 1245]
['Dimitri Sean', 'PDT', 1232]
['Dinei', 'Avante', 7051]
['Diogo Forjaz', 'PL', 2292]
['Diretor Elias Junior', 'Avante', 7090]
['DJ Wil', 'AGIR', 3618]
['Dom Ernesto', 'PRTB', 2858]
['Domenico Donina', 'PP', 1114]
['Dona Edna de Oliveira', 'MDB', 1556]
['Dona Vera', 'Avante', 7003]
['Dori Freitas', 'Rede', 1800]
['Douglas Belchior', 'PT', 1375]
['Douglas Garcia', 'Republicanos', 1070]
['Douglas Giglio', 'PP', 1150]
['Douglas Melo', 'Republicanos', 1013]
['Douglas Viegas', 'União', 4434]
['Doutor Campos', 'PMN', 3319]
['Doutor Miotto', 'PTB', 1466]
['Doutor Ubiali', 'PSB', 4080]
['Doutora Fabres', 'Podemos', 1902]
['Dr Adilson Medeiros', 'PSC', 2038]
['Dr Alexandre', 'PSDB', 4518]
['Dr Alvim', 'PROS', 9023]
['Dr Amilton', 'PSB', 4088]
['Dr André Sacco', 'PSDB', 4585]
['Dr Apolari', 'PP', 1121]
['Dr Artur Cesar', 'PMN', 3334]
['Dr Bactéria', 'MDB', 1551]
['Dr Caio Gaiane', 'Podemos', 1961]
['Dr Claudimar Jaba Colunidos', 'PCB', 2100]
['Dr Coimbra', 'Avante', 7046]
['Dr Eco Planet', 'DC', 2770]
['Dr Euclydes O Médico do Povo', 'Avante', 7050]
['Dr Evilasio', 'PSB', 4045]
['Dr Filipe Fornari', 'PP', 1144]
['Dr Flávio Amorim', 'PP', 1118]
['Dr Frederick Wassef', 'PL', 2239]
['Dr Getulio Serpa', 'PSB', 4094]
['Dr Gilberto', 'PT', 1345]
